miRNA_name,LX-2,LX-2A,S-T1,S-T1A,H-T2,H-T2A
hsa-let-7a-2-3p,800,1025,784,1011,452,964
hsa-let-7a-3p,5334,10361,11547,21644,4085,13461
hsa-let-7a-5p,1005991,964075,2496909,1297379,1975198,1229061
hsa-let-7b-3p,594,1159,472,1942,235,394
hsa-let-7b-5p,525777,507572,1203163,743138,802709,640967
hsa-let-7c-3p,0,6,87,279,31,220
hsa-let-7c-5p,1178409,18245,2758643,82327,2035556,108969
hsa-let-7d-3p,5271,14521,18699,19764,7741,16481
hsa-let-7d-5p,64692,82290,358962,126559,209812,152089
hsa-let-7e-3p,1159,1817,3360,2955,525,675
hsa-let-7e-5p,686224,4088,1668285,7035,1281357,9426
hsa-let-7f-1-3p,1476,1769,1787,4276,1196,2634
hsa-let-7f-2-3p,1620,404,2435,1744,916,392
hsa-let-7f-5p,989109,318436,2349118,697192,1869659,466592
hsa-let-7g-3p,367,163,100,258,101,218
hsa-let-7g-5p,120335,126245,103141,230527,273918,219894
hsa-let-7i-3p,1214,1656,2031,2727,3079,5922
hsa-let-7i-5p,181492,203743,472181,429652,977871,1043350
hsa-miR-100-3p,249,256,376,378,250,806
hsa-miR-100-5p,1215,1735,2157,1719,2034,2371
hsa-miR-101-3p,1226,452,350,1475,265,417
hsa-miR-101-5p,29,17,10,28,6,14
hsa-miR-103a-2-5p,92,36,314,30,80,22
hsa-miR-103a-3p,16721,13744,6033,17418,14023,21869
hsa-miR-105-3p,63,45,4,131,0,3
hsa-miR-105-5p,3403,1381,355,4243,5,113
hsa-miR-106a-5p,2782,51,3340,236,1849,84
hsa-miR-106b-3p,2339,1582,650,2417,2985,6776
hsa-miR-106b-5p,1360,595,172,508,1376,1814
hsa-miR-107,11557,275,5383,525,10188,805
hsa-miR-10a-3p,1284,1285,618,1491,400,822
hsa-miR-10a-5p,277,567,378,774,124,176
hsa-miR-10b-3p,4,1,7,27,0,0
hsa-miR-10b-5p,3,91,153,202,0,36
hsa-miR-1178-3p,0,1,2,0,1,0
hsa-miR-1179,212,70,3,2,9,10
hsa-miR-1180-3p,6724,3538,70079,23315,21953,19260
hsa-miR-1180-5p,4,5,8,22,22,21
hsa-miR-1181,1,1,0,0,0,0
hsa-miR-1185-1-3p,254,64,1,0,1,0
hsa-miR-1185-2-3p,243,22,1,0,1,0
hsa-miR-1185-5p,230,264,1,0,1,1
hsa-miR-1197,36,47,3,0,1,0
hsa-miR-122-3p,2,4,0,0,0,10
hsa-miR-1224-3p,0,0,0,0,0,1
hsa-miR-1224-5p,4,3,38,0,63,46
hsa-miR-1225-5p,0,0,25,2,0,0
hsa-miR-122-5p,13,3,16,9,43,36
hsa-miR-1226-3p,7,12,168,80,33,50
hsa-miR-1226-5p,0,2,631,27,17,17
hsa-miR-1227-3p,31,42,159,60,16,16
hsa-miR-1228-3p,11,12,357,35,220,41
hsa-miR-1228-5p,15,13,1045,17,265,53
hsa-miR-1229-3p,2,4,31,40,15,21
hsa-miR-1229-5p,1,0,29,2,7,0
hsa-miR-1233-3p,0,0,2,4,0,2
hsa-miR-1234-3p,4,2,14,32,23,17
hsa-miR-1236-3p,0,0,25,8,0,6
hsa-miR-1237-3p,21,14,52,28,27,17
hsa-miR-1237-5p,0,2,9,2,1,0
